XCHG;r,m;~50
LEA;r16,[m];2-3
DIV;r8/m8;17-19
DIV;r16/m16;16-26
DIV;r32/m32;14-42
DIV;r64/m64;14-74
IDIV;r8/m8;15-19
IDIV;r16/m16;16-26
IDIV;r32/m32;14-42
IDIV;r64/m64;15-74
LOCK ADD;m,r;~35
XADD;m,r;~10
LOCK XADD;m,r;~35
LOCK CMPXCHG;m8,r8;~40
LOCK CMPXCHG;m16,r16;~40
LOCK CMPXCHG;m,r32/r64;~40
CMPXCHG8B;m64;~14
LOCK CMPXCHG8B;m64;~42
CMPXCHG16B;m128;~40
LOCK CMPXCHG16B;m128;~80
FDIV(R)(P);r;9-37
FPREM FPREM1;;17-60
FSQRT;;10-20
FSIN;;60-210
FCOS;;76-158
FPTAN;;90-245
FPATAN;;60-440
F2XM1;;60-74
FYL2X;;60-280
FYL2XP1;;~390
FNSAVE;m864;~250
FRSTOR;m864;~150
MASKMOVQ;mm,mm;~50
MASKMOVDQU;x,x;~50
VPMASKMOVD/Q;m,x,x;10-40
VPMASKMOVD/Q;m,y,y;10-40
VMASKMOVPS/D;m128,x,x;~40
VMASKMOVPS/D;m256,y,y;~40
DIVSD DIVPD;x,x/m;8-22
VDIVPD;y,y,y/m;8-22
