MOV;sr,r/m;>= 2
XCHG;r,m;>15
POP;sr;>= 3
PUSHF;;3-5
POPF;;4-6
PUSHA POPA;;5-9
NEG NOT;r/m;1-3
SHR SHL SAR SAL;r/m,cl;4-5
ROR ROL RCR RCL;r/m,1;1-3
ROR ROL;r/m,i(><1);1-3
ROR ROL;r/m,cl;4/5
RCR RCL;r/m,i(><1);8-10
RCR RCL;r/m,cl;7-9
BSF BSR;r,r/m;7-73
SETcc;r/m;1/2
JMP CALL;far;>= 3
conditional jump;short/near;1-6
CALL JMP;r/m;2-5
RETN;;2-5
RETN;i;3-6
RETF;;4-7
RETF;i;5-8
J(E)CXZ;short;4-11
LOOP;short;5-10
CLI STI;;6-9
REP LODS;;7+3*n
REP STOS;;10+n
REP MOVS;;12+n
REP(N)E SCAS;;9+4*n
REP(N)E CMPS;;8+4*n
CPUID;;13-16
RDTSC;;6-13
FBLD;m80;48-58
FBSTP;m80;148-154
FDIV(R)(P);r/m;19-39
FIDIV(R);m;22-42
FXAM;;17-21
FPREM;;16-64
FPREM1;;20-70
FRNDINT;;9-20
FSCALE;;20-32
FXTRACT;;12-66
FSIN FCOS;;65-100
FSINCOS;;89-112
F2XM1;;53-59
FPTAN;;120-147
FPATAN;;112-134
FNCLEX;;6-9
FNINIT;;12-22
FNSAVE;m;124-300
FRSTOR;m;70-95
