MOV;sr , r/m;>= 2 b)
XCHG;r , m;>15
PUSH;sr;1 b)
POP;sr;>= 3 b)
PUSHF;;3-5
POPF;;4-6
PUSHA POPA;;5-9 i)
MOVSX MOVZX;r , r/m;3 a)
LDS LES LFS LGS LSS;m;4 c)
NEG NOT;r/m;1/3
MUL IMUL;all other versions;9 d)
SHR SHL SAR SAL;r/m, CL;4/5
ROR ROL RCR RCL;r/m, 1;1/3
ROR ROL;r/m, i(><1);1/3
ROR ROL;r/m, CL;4/5
RCR RCL;r/m, i(><1);8/10
RCR RCL;r/m, CL;7/9
SHLD SHRD;r, i/CL;4 a)
SHLD SHRD;m, i/CL;5 a)
BT;r, r/i;4 a)
BT;m, i;4 a)
BT;m, i;9 a)
BTR BTS BTC;r, r/i;7 a)
BTR BTS BTC;m, i;8 a)
BTR BTS BTC;m, r;14 a)
BSF BSR;r , r/m;7-73 a)
SETcc;r/m;1/2 a)
JMP CALL;short/near;1 e)
JMP CALL;far;>= 3 e)
conditional jump;short/near;1/4/5/6 e)
CALL JMP;r/m;2/5 e
RETN;;2/5 e
RETN;i;3/6 e)
RETF;;4/7 e)
RETF;i;5/8 e)
J(E)CXZ;short;4-11 e)
LOOP;short;5-10 e)
CLI STI;;6-9
REP LODS;;7+3*n g)
REP STOS;;10+n g)
REP MOVS;;12+n g)
REP(N)E SCAS;;9+4*n g)
REP(N)E CMPS;;8+4*n g)
BSWAP;r;1 a)
CPUID;;13-16 a)
RDTSC;;6-13 a) j)
FBLD;m80;48-58
FBSTP;m80;148-154
FLDPI FLDL2E etc.;;5 s)
FDIV(R)(P);r/m;19/33/39 p)
FIDIV(R);m;22/36/42 p)
FXAM;;17-21
FPREM;;16-64
FPREM1;;20-70
FRNDINT;;9-20
FSCALE;;20-32
FXTRACT;;12-66
FSIN FCOS;;65-100 r)
FSINCOS;;89-112 r)
F2XM1;;53-59 r)
FYL2X;;103 r)
FYL2XP1;;105 r)
FPTAN;;120-147 r)
FPATAN;;112-134 r)
FNCLEX;;6-9
FNINIT;;12-22
FNSAVE;m;124-300
FRSTOR;m;70-95
