CMOVcc;r,r/m;9.5
XCHG;r,m;≈100
LEA;r,[r+r/i];2.5
LEA;r,[r+r+i];3.5
LEA;r,[r*i];3.5
LEA;r,[r+r*i];3.5
LEA;r,[r+r*i+i];3.5
REP LODS;;≈ 4n+50
REP STOS;;≈ 3n
REP MOVSB;;≈.3n
REP MOVSW;;≈ .6-1.4n
REP MOVSD;;≈ 1.4 n
REP MOVSQ;;≈ 1.4 n
REP SCAS;;var
REP CMPS;;var
FADD(P),FSUB(R)(P);r;6-7
FADD,FSUB(R);m;6-7
FIADD,FISUB(R);m16;7-8
FIADD,FISUB(R);m32;6-7
FMUL(P);r;8-9
FMUL;m;8-9
FIMUL;m16;8-9
FIMUL;m32;8-9
FDIV(R)(P);r;45-46
FDIV(R);m;45-46
FIDIV(R);m16;45-46
FIDIV(R);m32;45-46
FABS;;3-4
FCHS;;3-4
FRNDINT;;28-29
FPREM;;220-221
FPREM1;;220-221
FSQRT;;45-46
FSIN, FCOS;;≈200
FSINCOS;;≈200
FPTAN;;≈270
FPATAN;;≈250
F2XM1;;≈270
FYL2X;;≈170
FYL2XP1;;≈170
MOVD;r32, mm;6-7
MOVD;mm, r32;3-4
MOVD;r32, xmm;7-8
MOVD;xmm, r32;4-5
MOVQ;xmm,xmm;2-3
MOVDQ2Q;mm,xmm;10-11
MOVQ2DQ;xmm,mm;10-11
MOVDDUP;xmm,xmm;2-3
MOVSHDUP MOVSLDUP;xmm,xmm;4-5
PACKSSWB/DW PACKUSWB;mm,r/m;2-3
PACKSSWB/DW PACKUSWB;xmm,r/m;4-5
PUNPCKH/LBW/WD/ DQ;mm,r/m;2-3
PUNPCKHBW/WD/DQ/QDQ;xmm,r/m;4-5
PUNPCKLBW/WD/DQ/QDQ;xmm,r/m;2-3
PSHUFD;xmm,xmm,i;4-5
PSHUFL/HW;xmm,xmm,i;2-3
PSHUFW;mm,mm,i;2-3
PADDB/W/D PADD(U)SB/W;r,r/m;2-3
PSUBB/W/D PSUB(U)SB/W;r,r/m;2-3
PADDQ, PSUBQ;mm,r/m;2-3
PADDQ, PSUBQ;xmm,r/m;5-6
PCMPEQB/W/D PCMPGTB/W/D;r,r/m;2-3
PMULLW PMULHW;r,r/m;7-8
PMULHUW;r,r/m;7-8
PMADDWD;r,r/m;7-8
PMULUDQ;r,r/m;7-8
PAVGB/W;r,r/m;2-3
PMIN/MAXUB;r,r/m;2-3
PMIN/MAXSW;r,r/m;2-3
PSADBW;r,r/m;4-5
PAND, PANDN;r,r/m;2-3
POR, PXOR;r,r/m;2-3
PSLL/RLW/D/Q, PSRAW/D;r,i/r/m;2-3
PSLLDQ, PSRLDQ;xmm,i;4-5
MOVSS;r,r;2-3
MOVSD;r,r;4-5
MOVHLPS;r,r;4-5
MOVLHPS;r,r;2-3
MOVSH/LDUP;r,r;4-5
MOVDDUP;r,r;2-3
MOVMSKPS/D;r32,r;5-6
SHUFPS/D;r,r/m,i;4-5
UNPCKHPS/D;r,r/m;4-5
UNPCKLPS/D;r,r/m;2-3
CVTPS2PD;r,r/m;4-5
CVTPD2PS;r,r/m;10-11
CVTSD2SS;r,r/m;14-15
CVTSS2SD;r,r/m;8-9
CVTDQ2PS;r,r/m;5-6
CVTDQ2PD;r,r/m;10-11
CVT(T)PS2DQ;r,r/m;5-6
CVT(T)PD2DQ;r,r/m;11-12
CVTPI2PS;xmm,mm;12-13
CVTPI2PD;xmm,mm;12-13
CVT(T)PD2PI;mm,xmm;12-13
CVTSI2SS;xmm,r32;20-21
CVTSI2SD;xmm,r32;20-21
CVT(T)SD2SI;r32,xmm;12-13
CVT(T)SS2SI;r32,xmm;17-18
ADDPS/D ADDSS/D;r,r/m;5-6
SUBPS/D SUBSS/D;r,r/m;5-6
ADDSUBPS/D;r,r/m;5-6
HADDPS/D HSUBPS/D;r,r/m;13-14
MULPS/D MULSS/D;r,r/m;7-8
DIVSS;r,r/m;32-33
DIVPS;r,r/m;41-42
DIVSD;r,r/m;40-41
DIVPD;r,r/m;71-72
RCPPS RCPSS;r,r/m;6-7
MAXPS/D MAXSS/DMINPS/D MINSS/D;r,r/m;5-6
CMPccPS/D CMPccSS/D;r,r/m;5-6
COMISS/D UCOMISS/D;r,r/m;6-7
ANDPS/D ANDNPS/D ORPS/D XORPS/D;r,r/m;2-3
SQRTSS;r,r/m;32-33
SQRTPS;r,r/m;41-42
SQRTSD;r,r/m;40-41
SQRTPD;r,r/m;71-72
RSQRTSS;r,r/m;5-6
RSQRTPS;r,r/m;6-7
