DIV;r/m16;25-29
DIV;r/m32;25-39
DIV;r/m 64;34-94
IDIV;r/m8;24-35
IDIV;r/m16;37-41
IDIV;r/m32;29-46
IDIV;r/m64;47-107
REP LODS;;~2n
REP STOS;;~0.1B
REP MOVS;;~0.15B
REP SCAS;;~3n
REP CMPS;;~3n
ENTER;a,b;59+5b
CPUID;;54-108
FNSTSW;AX;~9
FLDCW;m16;~6
FNSTCW;m16;~5
FPREM;;32-57
FPREM1;;32-57
FSQRT;;13-40
FSIN FCOS;;40-170
FSINCOS;;40-170
F2XM1;;39-90
FYL2X;;80-140
FPTAN;;45-200
FPATAN;;85-190
MOVNTQ;m64,mm;~370
MOVNTDQ;m128,x;~370
MASKMOVQ;mm,mm;~370
MASKMOVDQU;x,x;~370
PHADDD PHSUBD;mm/x, mm/x;5-6
MOVNTPS/D;m128,x;~370
